bandwidth_kHz,nyquist_kHz,sampling_rate_kHz,above_nyquist,nrmse,spectral_cosine_similarity
6.0,12.0,24.0,True,0.004340518731623888,0.9999917149543762
6.0,12.0,16.0,True,0.0043416740372776985,0.9999915957450867
6.0,12.0,12.0,True,0.007666108198463917,0.9999805688858032
6.0,12.0,8.0,False,0.10703888535499573,0.996934175491333
8.0,16.0,24.0,True,0.004972499329596758,0.99998939037323
8.0,16.0,16.0,True,0.0077042775228619576,0.9999794363975525
8.0,16.0,12.0,False,0.0375976599752903,0.999569296836853
8.0,16.0,8.0,False,0.11278848350048065,0.9963322877883911
10.0,20.0,24.0,True,0.0058201635256409645,0.9999850392341614
10.0,20.0,16.0,False,0.02615818753838539,0.9997599124908447
10.0,20.0,12.0,False,0.05385078489780426,0.9991762042045593
10.0,20.0,8.0,False,0.11602435261011124,0.9959366321563721
