kernel,kernel_size,noise_std,lambda,filt_nrmse,filt_snr_db,filt_spectral_cos,recon_nrmse,recon_snr_db,recon_spectral_cos
moving_average,11,0.0,0.0001,0.1294924020767212,17.75511360168457,0.9926983714103699,0.026326633989810944,31.592092514038086,0.999744713306427
moving_average,11,0.0,0.001,0.1294924020767212,17.75511360168457,0.9926983714103699,0.041204892098903656,27.701025009155273,0.9991831183433533
moving_average,11,0.0,0.01,0.1294924020767212,17.75511360168457,0.9926983714103699,0.06583762168884277,23.630516052246094,0.9979210495948792
moving_average,11,0.0,0.1,0.1294924020767212,17.75511360168457,0.9926983714103699,0.1394379884004593,17.11237907409668,0.9951626062393188
gaussian,11,0.0,0.0001,0.05743291974067688,24.816781997680664,0.9984424710273743,0.015477960929274559,36.205726623535156,0.9999588131904602
gaussian,11,0.0,0.001,0.05743291974067688,24.816781997680664,0.9984424710273743,0.01321063470095396,37.58152389526367,0.999933660030365
gaussian,11,0.0,0.01,0.05743291974067688,24.816781997680664,0.9984424710273743,0.021956173703074455,33.16886520385742,0.9998184442520142
gaussian,11,0.0,0.1,0.05743291974067688,24.816781997680664,0.9984424710273743,0.0997609868645668,20.02078628540039,0.9994596242904663
moving_average,11,0.02,0.0001,0.1322678029537201,17.5709171295166,0.9926097393035889,0.08613769710063934,21.2961368560791,0.9974750876426697
moving_average,11,0.02,0.001,0.1322678029537201,17.5709171295166,0.9926097393035889,0.08299355208873749,21.61911392211914,0.9975576400756836
moving_average,11,0.02,0.01,0.1322678029537201,17.5709171295166,0.9926097393035889,0.08208180218935013,21.71506118774414,0.9973779320716858
moving_average,11,0.02,0.1,0.1322678029537201,17.5709171295166,0.9926097393035889,0.1423909217119217,16.93035316467285,0.9950199723243713
gaussian,11,0.02,0.0001,0.06695665419101715,23.4841251373291,0.9982509613037109,0.06298362463712692,24.01544761657715,0.9990146160125732
gaussian,11,0.02,0.001,0.06695665419101715,23.4841251373291,0.9982509613037109,0.057528965175151825,24.802268981933594,0.9991959929466248
gaussian,11,0.02,0.01,0.06695665419101715,23.4841251373291,0.9982509613037109,0.05370175465941429,25.400230407714844,0.9992846846580505
gaussian,11,0.02,0.1,0.06695665419101715,23.4841251373291,0.9982509613037109,0.10655269771814346,19.448711395263672,0.9991302490234375
moving_average,11,0.05,0.0001,0.14478614926338196,16.785459518432617,0.9921482801437378,0.20582573115825653,13.73000717163086,0.9846273064613342
moving_average,11,0.05,0.001,0.14478614926338196,16.785459518432617,0.9921482801437378,0.18375979363918304,14.71498966217041,0.9881027936935425
moving_average,11,0.05,0.01,0.14478614926338196,16.785459518432617,0.9921482801437378,0.1383279711008072,17.181800842285156,0.9938998222351074
